hi,スキャン用,JANコード,区分,商品名,規格,製造会社,納入業者,納入価格,単価,入数,定数,発注単位,発注点,使用方法及び説明,発注条件,交換パーツ,添付文書
1ID0001,,CEM123,その他,輪ゴム,,,,,,,,箱,,,,,
1ID0002,01045386120575711056IA1711240917,4538612057571,生体情報モニタ,クリアリードⅡ（5電極）,CMC-702-5,フクダ電子,フォーム,,,,,,,5電極のクリアリード,,TRUE,
1ID0003,01045713493900301056GA10,4571349390030,生体情報モニタ,心電中継コード（5電極）,CIO-05CTP-5NU,フクダ電子,フォーム,,,,,本,,DS-8000ｼﾘｰｽﾞ用5電極用コード,,TRUE,
1ID0004,,CEM120,生体情報モニタ,2CH体温中継ケーブル,CJ0-P01T-DA0.5,フクダ電子,フォーム,,20000,,,本,,体温プローブを装着するためのケーブル,,,
1ID0005,,CEM119,生体情報モニタ,リチウムイオンバッテリーパック(BTO-008),BTO-008,フクダ電子,,,30000,,,,,,,TRUE,
1ID0006,,CEM118,その他,電源タップ マグネット付 4個口 3m,T-ECOH3430NM,エレコム(ELECOM),,,,,,本,,3P式4個口のマグネット付き抜け止めタップ。,,,
1ID0007,010453861222834610CDB,4538612228346,生体情報モニタ,リチウムイオンバッテリーパック(BTO-005),BTO-005,フクダ電子,フクダ電子,,,,,個,,DS-8400ｼﾘｰｽﾞのバッテリ。充放電が既定の回数を超えるとバッテリ交換アラームがなる。,,TRUE,
1ID0008,,CEM116,その他,クリヤーブック File by File A4-60ポケット,BCB-A4-60,,,,,,,冊,,ペースメーカの患者登録用紙を入れる,,,
1ID0009,,CEM115,生体情報モニタ,AP-U900 モニタ接続用ケーブル,TH-G100,フクダ電子,フクダ電子,,11880,,1,本,,BP-608と自動記録を接続するケーブル,,,
1ID0010,,CEM114,その他,ｼﾞｬｸｿﾝﾘｰｽ蘇生回路 2L ﾃｲﾙﾊﾞﾙﾌﾞ,CC5102RVW,(株)TOKIBO,フォーム,,1300,,,個,,ﾃﾞｨｽﾎﾟのｼﾞｬｸｿﾝﾘｰｽ回路。OPE室、ER、ME室に各1個つづ,,,
1ID0011,,CEM113,その他手術室関連,ステプティ 30袋入り,No.120P,オオサキメディカル,フォーム,,103,,1,袋,,アンギオで止血にて使用,,,
1ID0012,,CEM112,その他,養生テープ,,,,,,,1,巻,,,,,
1ID0013,,CEM111,その他,エレクトロニッククリーナー,3012,呉工業株式会社,,,,,1,本,,内視鏡接続部の銅板にメンテナンスとして使用するため,,,
1ID0014,,CEM110,その他,食器用洗剤,,,,,,,,,,,,,
1ID0015,,CEM109,血圧計,交換用ゴム球 スタンダード 1098F221,0-348-05,ケンツメディコ,八神製作所,,,,1,個,,交換用送気球,,,
1ID0016,,CEM107,その他,テーブルタップ,,,,,,,,,,,,,
1ID0017,,CEM106,生体情報モニタ,SPO2ｾﾝｻｰﾛｯｸ LX-8300N,6C0174030,フクダ電子,フクダ電子,,570,,1,個,,SPO2センサーの白いロック,,TRUE,
1ID0018,,CEM105,ラミネートテープ,brother Tze 相互テープ 白地赤字 9mm,Tze-222,brother,,,1320,,,個,,,,,
1ID0019,,CEM104,ラミネートテープ,brother Tze 相互テープ 透明地黒字 18mm,Tze-141,brother,,,1760,,,個,,,,,
1ID0020,,CEM103,その他,はさみ,,,,,,,,,,,,,
1ID0021,,CEM102,その他,ゼメックス止血システム とめ太くん（加圧器）,STY100,,,,,,,個,,,,,
1ID0022,,CEM100,その他,セメダイン スーパーXクリア 135ml AX-041,AX-041,,,,,,,本,,セメダイン,,,
1ID0023,,CEM099,酸素ボンベ,リークチェック 不燃性,29877137,モノタロウ,,,,,,本,,アウトレット及びシャットオフバルブのリークチェックに使用,,,
1ID0024,,CEM096,DVT予防装置,Kendall SCD本体接続用チューブ（213cm）,9528,カーディナルヘルス株式会社,八神製作所,,,,1,ｾｯﾄ,,SCD700用接続チューブ,,TRUE,
1ID0025,,CEM093,その他,USBメモリー,,,,,,,,,,,,,
1ID0026,,CEM088,人工呼吸器,自動給水チャンバー,JM2310000,日本光電,フォーム,,1466,,1,箱,,人工呼吸器回路の給水チャンバー,,,
1ID0027,,CEM086,その他,ゼムクリップ,,,,,,,,,,,,,
1ID0028,,CEM084,その他手術室関連,BP608EV通信ケーブル,BEI-×DMI-BP608EV-MDIN9-3MK,ビーアイ,フクダ電子,,25500,,,本,,BP608EV通信ケーブル。自動麻酔記録との通信用ケーブル。,,,
1ID0029,,CEM083,その他手術室関連,インフュサージ加圧バッグ 1000mL用,8-7340-02,アズワン,フォーム,,,,,個,,心カテのロータ症例で使用する。,,,
1ID0030,,CEM082,ラミネートテープ,brother Tze 相互テープ 黄色地黒文字,Tze-641,brother,,,1760,,,個,,,,,
1ID0031,4984824720046,4984824720046,その他,Panasonic 9V 電池,6LF22XWA/B,Panasonic,,,,,3,個,,9V電池。体外式ペースメーカにて使用,,,
1ID0032,,CEM080,その他,デジタルテスター,,,,,,,,,,,,,
1ID0033,,CEM078,その他,三菱電機 掃除機用紙パックフィルター,MP-3,,,,,,,袋,,掃除機の紙パック,,,
1ID0034,,CEM076,その他,スポンジ,,,,,,,,,,,,,
1ID0035,,CEM072,その他,KURE 5-56,,呉工業株式会社,,,,,,本,,機器メンテ、錆取り,,,
1ID0036,,CEM071,その他,デジタル絶縁抵抗計,,,,,,,,台,,,,,
1ID0037,,CEM070,その他,デジタルマルチテスター,,,,,,,,台,,,,,
1ID0038,,CEM069,その他,東芝電池 単4アルカリ電池,LR03T,TOSHIBA,,,,,6,本,,単4アルカリ電池,,,
1ID0039,,CEM067,その他外来関連,経食道用プローブカバー,Y751T,センチュリーメディカル,フォーム,,1680,,,箱,,経食用エコープローブカバー,,,
1ID0040,,CEM066,その他手術室関連,キセノンランプ,MAJ-1817,OLYMPUS,OLYMPUS,,,,,個,,手術室内視鏡光源用ランプ(CLV190 CLV290用),,TRUE,
1ID0041,,CEM065,その他,レジ袋100枚入 ４０号 乳白色,RS-40,,,,,,,袋,,,,,
1ID0042,,CEM062,人工呼吸器,ダストフィルタセット C1,V401A,日本光電,フォーム,,700,,,箱,,HAMILTONに使用,,TRUE,
1ID0043,,CEM061,生体情報モニタ,医療用ストラップ 8A-L レッド,0-6541-05,,,,,,,個,,テレメータ用ストラップとして使用,,,
1ID0044,010493192150848010201115826,4931921508480,人工呼吸器,バッテリパック C1タイプ,V481,日本光電,フォーム,,64000,4,,個,,HAMILTON C1で使用するバッテリ,,,
1ID0045,,CEM058,その他,油性マジック(赤),,,,,,,,本,,油性マジック(黒),,,
1ID0046,,CEM057,その他,油性マジック(黒),,,,,,,,本,,油性マジック(黒),,,
1ID0047,,CEM047,その他,モニタ用血圧カフ 成人用（大） （DS-7000シリーズ）,CUF-8505,フクダ電子,フクダ電子,,5400,,,個,,ベッドサイドモニタ用の血圧カフ,,,
1ID0048,,CEM045,その他,貸し出し・滅菌依頼 伝票,,,,,,,,個,,物品滅菌依頼時に使用,,,
